File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
F:\papter datasets\BC6HBC7 DirectCompute Encoder Tool\C++\BC6HBC7EncoderCS.cpp,PrintList(SValue* pValue),6,6,4,1,0,0,0,0,
F:\papter datasets\BC6HBC7 DirectCompute Encoder Tool\C++\BC6HBC7EncoderCS.cpp,"LookupByName(const WCHAR* pName, const SValue* pArray)",12,10,6,4,2,0,0,0,
F:\papter datasets\BC6HBC7 DirectCompute Encoder Tool\C++\BC6HBC7EncoderCS.cpp,"Encode( WCHAR* strSrcFilename, ID3D11Texture2D* pSourceTexture, DXGI_FORMAT fmtEncode, EncoderBase* pEncoder )",31,25,18,4,6,0,0,0,
F:\papter datasets\BC6HBC7 DirectCompute Encoder Tool\C++\BC6HBC7EncoderCS.cpp,Cleanup(),6,6,6,0,0,0,0,0,
F:\papter datasets\BC6HBC7 DirectCompute Encoder Tool\C++\BC6HBC7EncoderCS.cpp,isFloat( std::wstring myString ),5,5,5,1,0,0,0,0,
F:\papter datasets\BC6HBC7 DirectCompute Encoder Tool\C++\BC6HBC7EncoderCS.cpp,"ParseCommandLine( int argc, WCHAR* argv[] )",59,56,31,15,3,1,0,6,
F:\papter datasets\BC6HBC7 DirectCompute Encoder Tool\C++\BC6HBC7EncoderCS.cpp,"wmain(int argc, WCHAR* argv[])",160,126,82,23,25,0,9,44,
F:\papter datasets\BC6HBC7 DirectCompute Encoder Tool\C++\BC6HEncoderCS10.cpp,"CGPUBC6HEncoder::Initialize( ID3D11Device* pDevice, ID3D11DeviceContext* pContext )",20,15,10,4,4,0,1,5,
F:\papter datasets\BC6HBC7 DirectCompute Encoder Tool\C++\BC6HEncoderCS10.cpp,CGPUBC6HEncoder::Cleanup(),4,4,4,0,0,0,0,0,
F:\papter datasets\BC6HBC7 DirectCompute Encoder Tool\C++\BC6HEncoderCS10.cpp,"CGPUBC6HEncoder::GPU_Encode( ID3D11Device* pDevice, ID3D11DeviceContext* pContext, ID3D11Texture2D* pSrcTexture, DXGI_FORMAT dstFormat, ID3D11Buffer** ppDstTextureAsBufOut )",200,171,128,15,24,2,5,40,
