File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
F:\papter datasets\Visual Studio 3D Starter Kit (Windows 8.0)\C++\Shared\DDSTextureLoader.cpp,safe_handle( HANDLE h ),1,1,1,0,0,0,0,0,
F:\papter datasets\Visual Studio 3D Starter Kit (Windows 8.0)\C++\Shared\DDSTextureLoader.cpp,"SetDebugObjectName(_In_ ID3D11DeviceChild* resource, _In_ const char (&name)[TNameLength])",4,4,2,0,0,0,0,0,
F:\papter datasets\Visual Studio 3D Starter Kit (Windows 8.0)\C++\Shared\DDSTextureLoader.cpp,"LoadTextureDataFromFile( _In_z_ const wchar_t* fileName, std::unique_ptr<uint8_t[]>& ddsData, DDS_HEADER** header, uint8_t** bitData, size_t* bitSize )",116,89,42,24,16,1,11,84,
F:\papter datasets\Visual Studio 3D Starter Kit (Windows 8.0)\C++\Shared\DDSTextureLoader.cpp,BitsPerPixel( _In_ DXGI_FORMAT fmt ),127,117,12,11,10,0,0,0,
F:\papter datasets\Visual Studio 3D Starter Kit (Windows 8.0)\C++\Shared\DDSTextureLoader.cpp,"GetSurfaceInfo( _In_ size_t width, _In_ size_t height, _In_ DXGI_FORMAT fmt, _Out_opt_ size_t* outNumBytes, _Out_opt_ size_t* outRowBytes, _Out_opt_ size_t* outNumRows )",85,80,39,10,5,1,0,5,
F:\papter datasets\Visual Studio 3D Starter Kit (Windows 8.0)\C++\Shared\DDSTextureLoader.cpp,GetDXGIFormat( const DDS_PIXELFORMAT& ddpf ),204,154,73,69,31,12,19,220,
F:\papter datasets\Visual Studio 3D Starter Kit (Windows 8.0)\C++\Shared\DDSTextureLoader.cpp,MakeSRGB( _In_ DXGI_FORMAT format ),27,20,10,9,7,0,0,0,
F:\papter datasets\Visual Studio 3D Starter Kit (Windows 8.0)\C++\Shared\DDSTextureLoader.cpp,"FillInitData( _In_ size_t width, _In_ size_t height, _In_ size_t depth, _In_ size_t mipCount, _In_ size_t arraySize, _In_ DXGI_FORMAT format, _In_ size_t maxsize, _In_ size_t bitSize, _In_reads_bytes_(bitSize) const uint8_t* bitData, _Out_ size_t& twidth, _Out_ size_t& theight, _Out_ size_t& tdepth, _Out_ size_t& skipMip, _Out_writes_(mipCount*arraySize) D3D11_SUBRESOURCE_DATA* initData )",78,69,44,12,9,0,0,0,
F:\papter datasets\Visual Studio 3D Starter Kit (Windows 8.0)\C++\Shared\DDSTextureLoader.cpp,"CreateD3DResources( _In_ ID3D11Device* d3dDevice, _In_ uint32_t resDim, _In_ size_t width, _In_ size_t height, _In_ size_t depth, _In_ size_t mipCount, _In_ size_t arraySize, _In_ DXGI_FORMAT format, _In_ D3D11_USAGE usage, _In_ unsigned int bindFlags, _In_ unsigned int cpuAccessFlags, _In_ unsigned int miscFlags, _In_ bool forceSRGB, _In_ bool isCubeMap, _In_reads_(mipCount*arraySize) D3D11_SUBRESOURCE_DATA* initData, _Out_opt_ ID3D11Resource** texture, _Out_opt_ ID3D11ShaderResourceView** textureView )",212,192,117,27,19,0,1,8,
F:\papter datasets\Visual Studio 3D Starter Kit (Windows 8.0)\C++\Shared\DDSTextureLoader.cpp,"CreateTextureFromDDS( _In_ ID3D11Device* d3dDevice, _In_ const DDS_HEADER* header, _In_reads_bytes_(bitSize) const uint8_t* bitData, _In_ size_t bitSize, _In_ size_t maxsize, _In_ D3D11_USAGE usage, _In_ unsigned int bindFlags, _In_ unsigned int cpuAccessFlags, _In_ unsigned int miscFlags, _In_ bool forceSRGB, _Out_opt_ ID3D11Resource** texture, _Out_opt_ ID3D11ShaderResourceView** textureView )",220,182,92,52,31,8,7,84,
F:\papter datasets\Visual Studio 3D Starter Kit (Windows 8.0)\C++\Shared\DDSTextureLoader.cpp,"DirectX::CreateDDSTextureFromMemory( ID3D11Device* d3dDevice, const uint8_t* ddsData, size_t ddsDataSize, ID3D11Resource** texture, ID3D11ShaderResourceView** textureView, size_t maxsize )",4,4,2,1,0,0,0,0,
F:\papter datasets\Visual Studio 3D Starter Kit (Windows 8.0)\C++\Shared\DDSTextureLoader.cpp,"DirectX::CreateDDSTextureFromMemoryEx( ID3D11Device* d3dDevice, const uint8_t* ddsData, size_t ddsDataSize, size_t maxsize, D3D11_USAGE usage, unsigned int bindFlags, unsigned int cpuAccessFlags, unsigned int miscFlags, bool forceSRGB, ID3D11Resource** texture, ID3D11ShaderResourceView** textureView )",70,54,27,16,12,0,4,25,
F:\papter datasets\Visual Studio 3D Starter Kit (Windows 8.0)\C++\Shared\DDSTextureLoader.cpp,"DirectX::CreateDDSTextureFromFile( ID3D11Device* d3dDevice, const wchar_t* fileName, ID3D11Resource** texture, ID3D11ShaderResourceView** textureView, size_t maxsize )",4,4,2,1,0,0,0,0,
F:\papter datasets\Visual Studio 3D Starter Kit (Windows 8.0)\C++\Shared\DDSTextureLoader.cpp,"DirectX::CreateDDSTextureFromFileEx( ID3D11Device* d3dDevice, const wchar_t* fileName, size_t maxsize, D3D11_USAGE usage, unsigned int bindFlags, unsigned int cpuAccessFlags, unsigned int miscFlags, bool forceSRGB, ID3D11Resource** texture, ID3D11ShaderResourceView** textureView )",78,70,28,11,8,0,0,0,
F:\papter datasets\Visual Studio 3D Starter Kit (Windows 8.0)\C++\Shared\Direct3DBase.cpp,Direct3DBase::Direct3DBase(),1,1,1,0,0,0,0,0,
F:\papter datasets\Visual Studio 3D Starter Kit (Windows 8.0)\C++\Shared\Direct3DBase.cpp,Direct3DBase::CreateDepthStencilView(),28,25,6,0,2,0,1,12,
F:\papter datasets\Visual Studio 3D Starter Kit (Windows 8.0)\C++\Shared\Direct3DBase.cpp,Direct3DBase::SetViewport(),10,8,3,0,1,0,1,10,
F:\papter datasets\Visual Studio 3D Starter Kit (Windows 8.0)\C++\Shared\Direct3DBase.cpp,Direct3DWindowsBase::Direct3DWindowsBase(),1,1,1,0,0,0,0,0,
F:\papter datasets\Visual Studio 3D Starter Kit (Windows 8.0)\C++\Shared\Direct3DBase.cpp,Direct3DWindowsBase::CreateWindowSizeDependentResources(),146,110,61,7,18,6,18,240,
F:\papter datasets\Visual Studio 3D Starter Kit (Windows 8.0)\C++\Shared\Direct3DBase.cpp,Direct3DWindowsBase::CreateDeviceResources(),67,50,12,1,6,14,11,216,
F:\papter datasets\Visual Studio 3D Starter Kit (Windows 8.0)\C++\Shared\Direct3DBase.cpp,"Direct3DWindowsBase::Initialize(CoreWindow^ window, Windows::UI::Xaml::Controls::SwapChainBackgroundPanel^ panel, float dpi)",6,5,5,0,1,0,0,0,
F:\papter datasets\Visual Studio 3D Starter Kit (Windows 8.0)\C++\Shared\Direct3DBase.cpp,Direct3DWindowsBase::UpdateForWindowSizeChange(),18,16,11,2,1,0,1,12,
F:\papter datasets\Visual Studio 3D Starter Kit (Windows 8.0)\C++\Shared\Direct3DBase.cpp,Direct3DWindowsBase::HandleDeviceLost(),10,8,8,0,1,0,1,11,
F:\papter datasets\Visual Studio 3D Starter Kit (Windows 8.0)\C++\Shared\Direct3DBase.cpp,Direct3DWindowsBase::SetDpi(float dpi),11,6,4,1,1,0,4,49,
F:\papter datasets\Visual Studio 3D Starter Kit (Windows 8.0)\C++\Shared\Direct3DBase.cpp,Direct3DWindowsBase::ConvertDipsToPixels(float dips),3,3,3,1,0,1,0,4,
F:\papter datasets\Visual Studio 3D Starter Kit (Windows 8.0)\C++\Shared\Direct3DBase.cpp,Direct3DWindowsBase::Present(),32,17,14,1,4,0,11,109,
F:\papter datasets\Visual Studio 3D Starter Kit (Windows 8.0)\C++\Shared\Direct3DBase.cpp,Direct3DWindowsBase::ValidateDevice(),24,21,17,1,3,0,0,0,
F:\papter datasets\Visual Studio 3D Starter Kit (Windows 8.0)\C++\Shared\Direct3DBase.cpp,Direct3DPhoneBase::Direct3DPhoneBase(),1,1,1,0,0,0,0,0,
F:\papter datasets\Visual Studio 3D Starter Kit (Windows 8.0)\C++\Shared\Direct3DBase.cpp,Direct3DPhoneBase::CreateDeviceResources(),1,1,1,0,0,0,0,0,
