File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
F:\benchmark\lshw-master\src\lshw.cc,usage(const char *progname),29,29,24,1,0,0,0,0,
F:\benchmark\lshw-master\src\lshw.cc,status(const char *message),15,13,9,3,2,0,0,0,
F:\benchmark\lshw-master\src\lshw.cc,"main(int argc, char **argv)",187,156,98,28,30,1,1,8,
F:\benchmark\lshw-master\src\core\abi.cc,scan_abi(hwNode & system),32,25,18,5,6,0,1,9,
F:\benchmark\lshw-master\src\core\blockio.cc,"readlogicalblocks(source & s, void * buffer, long long pos, long long count)",18,11,9,5,6,0,1,10,
F:\benchmark\lshw-master\src\core\burner.cc,scsi_command_new(void),10,8,8,1,2,0,0,0,
F:\benchmark\lshw-master\src\core\burner.cc,scsi_command_new_from_fd(int f),8,6,6,1,2,0,0,0,
F:\benchmark\lshw-master\src\core\burner.cc,scsi_command_free(ScsiCommand * cmd),13,12,8,2,1,0,0,0,
F:\benchmark\lshw-master\src\core\burner.cc,"scsi_command_transport(ScsiCommand * cmd, Direction dir, void *buf, size_t sz)",24,20,14,6,4,0,0,0,
F:\benchmark\lshw-master\src\core\burner.cc,"scsi_command_init(ScsiCommand * cmd, size_t i, int arg)",16,16,14,1,0,0,0,0,
F:\benchmark\lshw-master\src\core\burner.cc,get_dvd_r_rw_profile(int fd),69,55,39,11,8,0,6,34,
F:\benchmark\lshw-master\src\core\burner.cc,pull_page2a_from_fd(int fd),72,55,41,11,10,8,7,64,
F:\benchmark\lshw-master\src\core\burner.cc,"get_read_write_speed(int fd, int *read_speed, int *write_speed)",44,32,22,6,7,0,5,31,
F:\benchmark\lshw-master\src\core\burner.cc,get_disc_type(int fd),22,17,15,3,4,0,1,4,
F:\benchmark\lshw-master\src\core\burner.cc,disc_is_appendable(int fd),22,16,14,3,4,1,2,13,
F:\benchmark\lshw-master\src\core\burner.cc,disc_is_rewritable(int fd),22,16,14,3,4,1,2,13,
