237,567,966
238,508,952,966
239,510,952,966
240,491,966
241,486,966
242,506,966
243,499,966
244,490,966
245,495,966
246,496,966
247,485,966
248,504,966
249,503,966
250,502,966
251,505,966
252,487,966
253,489,966
254,488,966
255,493,966
256,500,966
257,492,966
258,497,966
259,498,966
260,501,966
261,507,966
262,494,966
263,567,966
264,508,952,966
265,510,952,966
266,491,966
267,486,966
268,506,966
269,499,966
270,490,966
271,495,966
272,496,966
273,485,966
274,504,966
275,503,966
276,502,966
277,505,966
278,487,966
279,489,966
280,488,966
281,493,966
282,500,966
283,492,966
284,497,966
285,498,966
286,501,966
287,507,966
288,494,966
289,576,952,966
290,567,966
291,508,952,966
292,510,952,966
293,491,966
294,486,966
295,506,966
296,499,966
297,490,966
298,495,966
299,496,966
300,485,966
301,504,966
302,503,966
303,502,966
304,505,966
305,487,966
306,489,966
307,488,966
308,493,966
309,500,966
310,492,966
311,497,966
312,498,966
313,501,966
314,507,966
315,494,966
316,567,966
317,508,952,966
318,510,952,966
319,491,966
320,486,966
321,506,966
322,499,966
323,490,966
324,495,966
325,496,966
326,485,966
327,504,966
328,503,966
329,502,966
330,505,966
331,487,966
332,489,966
333,488,966
334,493,966
335,500,966
336,492,966
337,497,966
338,498,966
339,501,966
340,507,966
341,494,966
342,567,966
343,508,952,966
344,510,952,966
345,491,966
346,486,966
347,506,966
348,499,966
349,490,966
350,495,966
351,496,966
352,485,966
353,504,966
354,503,966
355,502,966
356,505,966
357,487,966
358,489,966
359,488,966
360,493,966
361,500,966
362,492,966
363,497,966
364,498,966
365,501,966
366,507,966
367,494,966
368,567,966
369,508,952,966
370,510,952,966
371,491,966
372,486,966
373,506,966
374,499,966
375,490,966
376,495,966
377,496,966
378,485,966
379,504,966
380,503,966
381,502,966
382,505,966
383,487,966
384,489,966
385,488,966
386,493,966
387,500,966
388,492,966
389,497,966
390,498,966
391,501,966
392,507,966
393,494,966
394,567,966
395,508,952,966
396,510,952,966
397,491,966
398,486,966
399,506,966
400,499,966
401,490,966
402,495,966
403,496,966
404,485,966
405,504,966
