File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
F:\papter datasets\Development\stats\7zip\GUI\ArchiveCommandLine.cpp,ThrowException(const char *errorMessage),2,2,2,0,0,0,0,0
F:\papter datasets\Development\stats\7zip\GUI\ArchiveCommandLine.cpp,ThrowUserErrorException(),2,2,2,0,0,0,0,0
F:\papter datasets\Development\stats\7zip\GUI\ArchiveCommandLine.cpp,CArchiveCommand::IsFromExtractGroup() const,10,10,4,3,0,0,0,0
F:\papter datasets\Development\stats\7zip\GUI\ArchiveCommandLine.cpp,CArchiveCommand::GetPathMode() const,9,9,4,3,0,0,0,0
F:\papter datasets\Development\stats\7zip\GUI\ArchiveCommandLine.cpp,CArchiveCommand::IsFromUpdateGroup() const,4,4,2,1,0,0,0,0
F:\papter datasets\Development\stats\7zip\GUI\ArchiveCommandLine.cpp,GetRecursedTypeFromIndex(int index),10,10,5,4,0,0,0,0
F:\papter datasets\Development\stats\7zip\GUI\ArchiveCommandLine.cpp,"ParseArchiveCommand(const UString &commandString, CArchiveCommand &command)",10,10,8,3,0,0,0,0
F:\papter datasets\Development\stats\7zip\GUI\ArchiveCommandLine.cpp,"AddNameToCensor(NWildcard::CCensor &wildcardCensor, const UString &name, bool include, NRecursedType::EEnum type)",13,12,8,3,1,0,0,0
F:\papter datasets\Development\stats\7zip\GUI\ArchiveCommandLine.cpp,"AddToCensorFromListFile(NWildcard::CCensor &wildcardCensor, LPCWSTR fileName, bool include, NRecursedType::EEnum type, UINT codePage)",8,8,5,3,0,0,0,0
F:\papter datasets\Development\stats\7zip\GUI\ArchiveCommandLine.cpp,"AddToCensorFromNonSwitchesStrings( int startIndex, NWildcard::CCensor &wildcardCensor, const UStringVector &nonSwitchStrings, NRecursedType::EEnum type, bool thereAreSwitchIncludes, UINT codePage)",13,13,7,4,0,0,0,0
F:\papter datasets\Development\stats\7zip\GUI\ArchiveCommandLine.cpp,"ParseMapWithPaths(NWildcard::CCensor &wildcardCensor, const UString &switchParam, bool include, NRecursedType::EEnum commonRecursedType)",57,53,35,9,4,0,0,0
F:\papter datasets\Development\stats\7zip\GUI\ArchiveCommandLine.cpp,"AddSwitchWildCardsToCensor(NWildcard::CCensor &wildcardCensor, const UStringVector &strings, bool include, NRecursedType::EEnum commonRecursedType, UINT codePage)",32,32,18,6,0,0,0,0
