File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
F:\papter datasets\Development\stats\7zip\File Manager\AboutDialog.cpp,CAboutDialog::OnInit(),5,5,5,1,0,0,0,0
F:\papter datasets\Development\stats\7zip\File Manager\AboutDialog.cpp,CAboutDialog::OnHelp(),2,2,2,0,0,0,0,0
F:\papter datasets\Development\stats\7zip\File Manager\AboutDialog.cpp,"CAboutDialog::OnButtonClicked(int buttonID, HWND buttonHWND)",24,18,12,3,2,0,4,13
F:\papter datasets\Development\stats\7zip\File Manager\Agent.cpp,CAgentFolder::GetAgentFolder(CAgentFolder **agentFolder),3,3,3,1,0,0,0,0
F:\papter datasets\Development\stats\7zip\File Manager\Agent.cpp,CAgentFolder::LoadFolder(const CProxyFolder *folder),16,16,12,2,0,0,0,0
F:\papter datasets\Development\stats\7zip\File Manager\Agent.cpp,CAgentFolder::LoadItems(),7,7,5,4,0,0,0,0
F:\papter datasets\Development\stats\7zip\File Manager\Agent.cpp,CAgentFolder::GetNumberOfItems(UInt32 *numItems),6,6,4,2,0,0,0,0
F:\papter datasets\Development\stats\7zip\File Manager\Agent.cpp,CAgentFolder::GetName(UInt32 index) const,5,5,3,3,0,0,0,0
F:\papter datasets\Development\stats\7zip\File Manager\Agent.cpp,CAgentFolder::GetPrefix(UInt32 index) const,12,12,9,4,0,0,0,0
F:\papter datasets\Development\stats\7zip\File Manager\Agent.cpp,CAgentFolder::GetFullPathPrefixPlusPrefix(UInt32 index) const,2,2,2,1,0,0,0,0
F:\papter datasets\Development\stats\7zip\File Manager\Agent.cpp,"CAgentFolder::GetProperty(UInt32 index, PROPID propID, PROPVARIANT *value)",52,52,27,12,0,0,0,0
F:\papter datasets\Development\stats\7zip\File Manager\Agent.cpp,"CAgentFolder::BindToFolder(const CProxyFolder *folder, IFolderFolder **resultFolder)",13,13,10,2,0,0,0,0
F:\papter datasets\Development\stats\7zip\File Manager\Agent.cpp,"CAgentFolder::BindToFolder(UInt32 index, IFolderFolder **resultFolder)",7,7,3,3,0,0,0,0
F:\papter datasets\Development\stats\7zip\File Manager\Agent.cpp,"CAgentFolder::BindToFolder(const wchar_t *name, IFolderFolder **resultFolder)",7,7,4,3,0,0,0,0
F:\papter datasets\Development\stats\7zip\File Manager\Agent.cpp,CAgentFolder::BindToParentFolder(IFolderFolder **resultFolder),6,6,4,1,0,0,0,0
F:\papter datasets\Development\stats\7zip\File Manager\Agent.cpp,"CAgentFolder::GetStream(UInt32 index, ISequentialInStream **stream)",19,17,11,6,2,0,0,0
F:\papter datasets\Development\stats\7zip\File Manager\Agent.cpp,CAgentFolder::GetNumberOfProperties(UInt32 *numProps),10,10,6,3,0,0,0,0
F:\papter datasets\Development\stats\7zip\File Manager\Agent.cpp,"CAgentFolder::GetPropertyInfo(UInt32 index, BSTR *name, PROPID *propID, VARTYPE *varType)",31,30,19,6,1,0,0,0
F:\papter datasets\Development\stats\7zip\File Manager\Agent.cpp,"CAgentFolder::GetFolderProperty(PROPID propID, PROPVARIANT *value)",17,17,13,2,0,0,0,0
F:\papter datasets\Development\stats\7zip\File Manager\Agent.cpp,CAgentFolder::GetNumberOfFolderProperties(UInt32 *numProps),3,3,3,1,0,0,0,0
F:\papter datasets\Development\stats\7zip\File Manager\Agent.cpp,"CAgentFolder::GetFolderPropertyInfo(UInt32 index, BSTR *name, PROPID *propID, VARTYPE *varType)",9,8,7,1,0,0,1,4
F:\papter datasets\Development\stats\7zip\File Manager\Agent.cpp,CAgentFolder::GetFolderArcProps(IFolderArcProps **object),4,4,4,1,0,0,0,0
F:\papter datasets\Development\stats\7zip\File Manager\Agent.cpp,CAgentFolder::SetFlatMode(Int32 flatMode),3,3,3,1,0,0,0,0
F:\papter datasets\Development\stats\7zip\File Manager\Agent.cpp,"CAgentFolder::GetRealIndices(const UInt32 *indices, UInt32 numItems, CUIntVector &realIndices) const",17,17,12,3,0,0,0,0
F:\papter datasets\Development\stats\7zip\File Manager\Agent.cpp,"CAgentFolder::Extract(const UInt32 *indices, UInt32 numItems, NExtract::NPathMode::EEnum pathMode, NExtract::NOverwriteMode::EEnum overwriteMode, const wchar_t *path, Int32 testMode, IFolderArchiveExtractCallback *extractCallback2)",28,21,12,2,3,0,4,6
F:\papter datasets\Development\stats\7zip\File Manager\Agent.cpp,CAgent::CAgent(),1,1,1,0,0,0,0,0
F:\papter datasets\Development\stats\7zip\File Manager\Agent.cpp,CAgent::~CAgent(),3,3,2,1,0,0,0,0
F:\papter datasets\Development\stats\7zip\File Manager\Agent.cpp,"CAgent::Open( IInStream *inStream, const wchar_t *filePath, const wchar_t *arcFormat, BSTR *archiveType, IArchiveOpenCallback *openArchiveCallback)",36,31,21,11,5,0,0,0
F:\papter datasets\Development\stats\7zip\File Manager\Agent.cpp,CAgent::ReOpen(IArchiveOpenCallback *openArchiveCallback),10,10,6,2,0,0,0,0
F:\papter datasets\Development\stats\7zip\File Manager\Agent.cpp,CAgent::Close(),4,4,2,1,0,0,0,0
